;0;1;Metodo
0;1.0;pre_processamento\apple1.jpg;Correlation
1;0.9977949986529369;pre_processamento\apple2.jpg;Correlation
2;0.99374455258592;pre_processamento\apple_green.jpg;Correlation
3;0.9865322210986823;pre_processamento\apple3.jpg;Correlation
4;0.9856005600869122;pre_processamento\pineapple.jpg;Correlation
5;0.9399692187994699;pre_processamento\Binaria.jpg;Correlation
6;0.0024663768916125053;pre_processamento\einstein.jpg;Correlation
7;-0.00984168564187022;pre_processamento\1.jpg;Correlation
8;-0.03594841932083633;pre_processamento\Cinza.jpg;Correlation
9;-0.04022128548982981;pre_processamento\colorida0.jpg;Correlation
10;-0.04022128548982981;pre_processamento\colorida.jpg;Correlation
0;0.0;pre_processamento\apple1.jpg;Chi-Squared
1;0.46854840131568914;pre_processamento\apple2.jpg;Chi-Squared
2;2.1143753210409972;pre_processamento\pineapple.jpg;Chi-Squared
3;4.982400138697053;pre_processamento\apple_green.jpg;Chi-Squared
4;8.074007497620023;pre_processamento\apple3.jpg;Chi-Squared
5;856.6786616577746;pre_processamento\1.jpg;Chi-Squared
6;1223.5607416044397;pre_processamento\colorida.jpg;Chi-Squared
7;1223.5607416044397;pre_processamento\colorida0.jpg;Chi-Squared
8;2286.426832628531;pre_processamento\Cinza.jpg;Chi-Squared
9;11130.477169003187;pre_processamento\Binaria.jpg;Chi-Squared
10;99359.26689037033;pre_processamento\einstein.jpg;Chi-Squared
0;1.3534432270998877;pre_processamento\apple1.jpg;Intersection
1;1.2569620175636373;pre_processamento\apple2.jpg;Intersection
2;1.1465068510374294;pre_processamento\pineapple.jpg;Intersection
3;1.1398096398916095;pre_processamento\apple3.jpg;Intersection
4;1.0351118630470637;pre_processamento\apple_green.jpg;Intersection
5;0.9548498154535991;pre_processamento\Binaria.jpg;Intersection
6;0.06846095510536543;pre_processamento\colorida0.jpg;Intersection
7;0.06846095510536543;pre_processamento\colorida.jpg;Intersection
8;0.04913638391644781;pre_processamento\einstein.jpg;Intersection
9;0.04277298003762553;pre_processamento\1.jpg;Intersection
10;0.017037612843523675;pre_processamento\Cinza.jpg;Intersection
0;0.0;pre_processamento\apple1.jpg;Bhattacharyya
1;0.1610709497331469;pre_processamento\apple2.jpg;Bhattacharyya
2;0.2995433724518647;pre_processamento\pineapple.jpg;Bhattacharyya
3;0.34973544724834466;pre_processamento\apple3.jpg;Bhattacharyya
4;0.38059305604662713;pre_processamento\apple_green.jpg;Bhattacharyya
5;0.5414776988745068;pre_processamento\Binaria.jpg;Bhattacharyya
6;0.8927848297517853;pre_processamento\colorida.jpg;Bhattacharyya
7;0.8927848297517853;pre_processamento\colorida0.jpg;Bhattacharyya
8;0.9020271005258144;pre_processamento\1.jpg;Bhattacharyya
9;0.9112322888562902;pre_processamento\einstein.jpg;Bhattacharyya
10;0.9411999019062316;pre_processamento\Cinza.jpg;Bhattacharyya
